Date,Open,High,Low,Close
12/04/2023,0.9192,0.9247,0.9182,0.9225
12/03/2023,0.9192,0.9196,0.9185,0.9191
12/02/2023,0.9193,0.9199,0.9183,0.9193
12/01/2023,0.9191,0.923,0.9167,0.9194
11/30/2023,0.912,0.9196,0.9108,0.919
11/29/2023,0.9104,0.9128,0.9084,0.912
11/28/2023,0.9133,0.9149,0.909,0.9104
11/27/2023,0.9155,0.9159,0.9127,0.9132
11/26/2023,0.915,0.9158,0.9147,0.9155
11/25/2023,0.9147,0.9154,0.9144,0.915
11/24/2023,0.9174,0.9184,0.9141,0.9147
11/23/2023,0.9188,0.9193,0.9156,0.9175
11/22/2023,0.917,0.9218,0.9161,0.9188
11/21/2023,0.9151,0.9178,0.9127,0.9171
11/20/2023,0.9176,0.9186,0.9138,0.9151
11/19/2023,0.9182,0.9185,0.9176,0.9177
11/18/2023,0.9175,0.9185,0.9175,0.9183
11/17/2023,0.9221,0.9239,0.9175,0.9177
11/16/2023,0.9228,0.9242,0.9187,0.922
11/15/2023,0.9198,0.924,0.9194,0.923
11/14/2023,0.9352,0.9357,0.919,0.9197
11/13/2023,0.9373,0.938,0.9346,0.9353
11/12/2023,0.9375,0.938,0.937,0.9373
11/11/2023,0.937,0.9381,0.9366,0.9377
11/10/2023,0.938,0.9387,0.936,0.937
11/09/2023,0.9344,0.9388,0.9332,0.938
11/08/2023,0.9353,0.9384,0.9335,0.9344
11/07/2023,0.9336,0.9387,0.9332,0.9353
11/06/2023,0.9334,0.9339,0.9301,0.9336
11/05/2023,0.9337,0.934,0.9326,0.9333
11/04/2023,0.933,0.9338,0.9323,0.9336
11/03/2023,0.9419,0.9426,0.9316,0.9329
11/02/2023,0.9466,0.9469,0.9384,0.9419
11/01/2023,0.9457,0.9509,0.9453,0.9465
10/31/2023,0.9428,0.9478,0.9377,0.946
10/30/2023,0.9472,0.948,0.9416,0.9428
10/29/2023,0.9472,0.9474,0.9469,0.9471
10/28/2023,0.9467,0.9474,0.9464,0.9474
10/27/2023,0.947,0.9491,0.9442,0.9467
10/26/2023,0.9469,0.9501,0.9466,0.9469
10/25/2023,0.9439,0.9471,0.9426,0.9471
10/24/2023,0.9382,0.9451,0.9347,0.9438
10/23/2023,0.9438,0.9457,0.9373,0.938
10/22/2023,0.9438,0.9443,0.9435,0.9436
10/21/2023,0.9439,0.9443,0.9436,0.9438
10/20/2023,0.9455,0.9471,0.943,0.9439
10/19/2023,0.9495,0.95,0.9428,0.9455
10/18/2023,0.9453,0.9509,0.9439,0.9495
10/17/2023,0.947,0.9496,0.9446,0.9455
10/16/2023,0.9514,0.9515,0.9466,0.9469
10/15/2023,0.952,0.9521,0.951,0.9513
10/14/2023,0.9512,0.9522,0.9512,0.952
10/13/2023,0.9491,0.9522,0.9466,0.9514
10/12/2023,0.9417,0.9493,0.94,0.9492
10/11/2023,0.9431,0.9448,0.9407,0.9417
10/10/2023,0.9466,0.9475,0.942,0.9431
10/09/2023,0.9467,0.9504,0.946,0.9467
10/08/2023,0.9454,0.9468,0.9453,0.9468
10/07/2023,0.9454,0.9457,0.945,0.9455
10/06/2023,0.9481,0.954,0.9439,0.9454
10/05/2023,0.952,0.9523,0.9479,0.948
10/04/2023,0.9456,0.9531,0.9434,0.9528
10/02/2023,0.9456,0.9531,0.9434,0.9528
10/01/2023,0.9458,0.9466,0.945,0.9457
09/30/2023,0.9456,0.9461,0.9454,0.9458
09/29/2023,0.9461,0.9468,0.9413,0.9454
09/28/2023,0.9509,0.9517,0.9446,0.9461
09/27/2023,0.9448,0.9522,0.9443,0.9508
09/26/2023,0.9433,0.9457,0.9418,0.9448
09/25/2023,0.939,0.9448,0.938,0.9433
09/24/2023,0.9398,0.9403,0.9388,0.9389
09/23/2023,0.9391,0.9398,0.939,0.9398
09/22/2023,0.9377,0.9411,0.9365,0.9391
09/21/2023,0.9378,0.9413,0.9365,0.9378
09/20/2023,0.9365,0.9387,0.9315,0.9377
09/19/2023,0.9349,0.9369,0.9331,0.9365
09/18/2023,0.9373,0.938,0.9343,0.9348
09/17/2023,0.9371,0.9373,0.9368,0.9372
09/16/2023,0.9376,0.9378,0.9368,0.9371
09/15/2023,0.9394,0.9399,0.936,0.9377
09/14/2023,0.9321,0.9401,0.9297,0.9393
09/13/2023,0.9297,0.933,0.9289,0.9322
09/12/2023,0.93,0.9338,0.9286,0.9296
09/11/2023,0.9342,0.9342,0.9287,0.93
09/10/2023,0.9346,0.9353,0.9339,0.9342
09/09/2023,0.9343,0.9351,0.934,0.9346
09/08/2023,0.9345,0.9351,0.9306,0.9343
09/07/2023,0.9314,0.9348,0.9313,0.9346
09/06/2023,0.9324,0.9337,0.9298,0.9314
09/05/2023,0.9252,0.9332,0.9249,0.9325
09/04/2023,0.9272,0.9277,0.9236,0.9251
09/03/2023,0.9279,0.928,0.9271,0.9273
09/02/2023,0.9268,0.9281,0.9267,0.9278
09/01/2023,0.9215,0.9274,0.919,0.9268
08/31/2023,0.9148,0.9223,0.9138,0.9214
08/30/2023,0.918,0.92,0.9135,0.9149
08/29/2023,0.9227,0.9263,0.9172,0.918
08/28/2023,0.9256,0.9259,0.9225,0.9226
08/27/2023,0.9261,0.9266,0.9254,0.9256
08/26/2023,0.9256,0.9262,0.9255,0.926
08/25/2023,0.9243,0.9279,0.9216,0.9256
08/24/2023,0.9205,0.9249,0.9195,0.9243
08/23/2023,0.9213,0.925,0.9194,0.9207
08/22/2023,0.9177,0.9225,0.9146,0.9214
08/21/2023,0.9205,0.9205,0.9156,0.9177
